# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=16
# stan_version_patch=0
# init=random
# enable_random_init=0
# seed=2071558051
# chain_id=0
# iter=1000
# warmup=500
# save_warmup=1
# thin=1
# refresh=100
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=saved_samples.txt_0.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,weights.1,weights.2,weights.3,weights.4,weights.5,scale
-11269.9,1,0.000976562,1,1,0,574457,0.63555,0.220947,0.0243435,0.087967,0.0311927,3.1891
-11269.9,0,14.3855,0,1,1,11271.5,0.63555,0.220947,0.0243435,0.087967,0.0311927,3.1891
-11269.9,0,2.43117,0,1,1,11271.3,0.63555,0.220947,0.0243435,0.087967,0.0311927,3.1891
-11269.9,0,0.239791,0,1,1,11271.9,0.63555,0.220947,0.0243435,0.087967,0.0311927,3.1891
-11269.9,0,0.0186273,0,1,1,11271.2,0.63555,0.220947,0.0243435,0.087967,0.0311927,3.1891
-11269.9,0,0.00130482,0,1,1,11271.9,0.63555,0.220947,0.0243435,0.087967,0.0311927,3.1891
-5219.93,1,8.85015e-05,3,7,0,11117.9,0.635377,0.221014,0.0243655,0.0880311,0.0312124,3.11748
-5111.19,1,0.000135987,1,1,0,5215.74,0.635384,0.221021,0.0243673,0.0880194,0.0312083,3.11445
-4871.88,1,0.000228818,1,1,0,5072.56,0.635421,0.220997,0.0243644,0.0880098,0.031208,3.10607
-4661.73,1,0.000408639,1,1,0,4766.52,0.635546,0.220889,0.0243701,0.0879921,0.0312029,3.08877
-4661.73,0.00216181,0.000758439,1,3,1,4666.48,0.635546,0.220889,0.0243701,0.0879921,0.0312029,3.08877
-4647.81,0.998213,6.16764e-05,6,63,0,4662.99,0.636315,0.220195,0.0243818,0.0879332,0.0311746,3.08858
-4646.22,0.997562,0.000119369,3,7,0,4648.12,0.636382,0.22015,0.0243782,0.0879184,0.0311717,3.08725
-4629.48,0.998345,0.000233163,4,15,0,4650.24,0.637153,0.219352,0.0243537,0.0880247,0.0311159,3.08666
-4443.84,0.68802,0.000458862,5,31,0,4632.85,0.64671,0.210699,0.023872,0.0875176,0.0312008,3.07873
-4440.66,1,0.000345426,3,7,0,4446.01,0.646914,0.21058,0.0238561,0.087462,0.0311881,3.0797
-4440.56,0.0605535,0.00068631,2,3,0,4443.99,0.646987,0.210499,0.0238576,0.0874879,0.0311693,3.07832
-4439.53,0.999988,7.70069e-05,5,31,0,4441.54,0.647002,0.210474,0.0238604,0.0874746,0.0311888,3.08098
-4375.62,0.994069,0.00015467,6,63,0,4440.79,0.650521,0.207324,0.0236875,0.0873538,0.0311129,3.07833
-4061.81,0.906369,0.000302957,6,63,0,4378.65,0.670333,0.190831,0.0227346,0.0851712,0.0309298,3.06407
-3973.86,0.517343,0.000453164,4,15,0,4064.86,0.675934,0.185868,0.0226955,0.0845756,0.0309273,3.05931
-3972.82,0.988135,0.000213618,5,31,0,3976.89,0.676147,0.185795,0.0226589,0.0844805,0.030918,3.05842
-3928.17,0.878803,0.000406105,4,15,0,3976.84,0.67821,0.183404,0.0227283,0.0844504,0.0312079,3.05865
-3514.44,0.173473,0.000556518,5,31,0,3935.84,0.711517,0.155857,0.0220905,0.0801581,0.0303773,3.03568
-3497.83,0.990158,9.94673e-05,7,127,0,3516.73,0.713041,0.154696,0.0219138,0.0799853,0.0303634,3.03338
-3410.22,0.943992,0.000188954,6,63,0,3502.45,0.722879,0.147714,0.0212917,0.0781767,0.0299389,3.02804
-3403.4,0.834812,0.000311723,4,15,0,3413.6,0.723962,0.147041,0.0211453,0.0779456,0.0299062,3.02801
-3400.78,0.997571,0.000375407,4,15,0,3405.03,0.724369,0.146853,0.0210843,0.0777915,0.0299024,3.02757
-3400.78,0.000185161,0.000709341,1,3,1,3403.12,0.724369,0.146853,0.0210843,0.0777915,0.0299024,3.02757
-3398.1,0.999875,8.44152e-05,4,15,0,3401.38,0.724421,0.146788,0.0210769,0.0777957,0.0299178,3.02458
-3347.96,0.984712,0.000160849,6,63,0,3401.58,0.727758,0.143198,0.0212252,0.0775465,0.030272,3.02425
-3313.52,0.992759,0.000291008,5,31,0,3350.89,0.728678,0.140979,0.0214105,0.0782127,0.0307204,3.02279
-2787.78,0.530034,0.000532792,7,127,0,3315.03,0.791172,0.0863339,0.0189316,0.0712129,0.0323495,2.97957
-2786.05,0.748429,0.000280516,6,63,0,2793.05,0.79173,0.0859517,0.018924,0.0711184,0.0322755,2.97941
-2672.19,0.914708,0.000266165,7,127,0,2787.7,0.796575,0.0735357,0.0190365,0.0742767,0.0365764,2.97581
-2667.47,0.893211,0.000391288,6,63,0,2673.47,0.797148,0.0729247,0.0191142,0.0739726,0.0368403,2.97564
-2538.78,0.254174,0.000540447,7,127,0,2672.86,0.788506,0.0629264,0.0194075,0.0824276,0.0467326,2.97849
