# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=17
# stan_version_patch=0
# init=random
# enable_random_init=0
# seed=245980141
# chain_id=0
# iter=4000
# warmup=2000
# save_warmup=1
# thin=1
# refresh=400
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=saved_samples.txt_0.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,weights.1,weights.2,weights.3,weights.4,scale
-240168,0.5,0.000976562,1,2,1,1.29994e+06,0.148412,0.213099,0.213155,0.425334,0.672593
-240168,0,5.79578,0,1,1,240171,0.148412,0.213099,0.213155,0.425334,0.672593
-240168,0,0.748159,0,1,1,240170,0.148412,0.213099,0.213155,0.425334,0.672593
-240168,0,0.0632707,0,1,1,240172,0.148412,0.213099,0.213155,0.425334,0.672593
-240168,0,0.00446404,0,1,1,240170,0.148412,0.213099,0.213155,0.425334,0.672593
-20701.6,1,0.000293862,2,3,0,217062,0.148194,0.213271,0.212138,0.426397,0.839406
-5222.58,1,0.000409096,1,1,0,16739.1,0.148184,0.213284,0.212011,0.426521,0.874736
-1323.3,1,0.000644764,1,1,0,2354.68,0.148035,0.213314,0.211838,0.426814,0.920933
-1323.3,0,0.00110133,0,1,1,1323.45,0.148035,0.213314,0.211838,0.426814,0.920933
-1160.45,1,8.42581e-05,2,3,0,1323.17,0.148031,0.213299,0.211894,0.426777,0.919458
-554.752,1,0.000156042,3,7,0,1134.85,0.148068,0.213221,0.21208,0.426631,0.906163
-546.935,1,0.000297204,2,3,0,554.958,0.148023,0.21323,0.212042,0.426705,0.907116
-461.624,0.876183,0.000575723,7,127,0,554.59,0.179883,0.233691,0.235707,0.350718,0.916802
-460.221,0.252989,0.00076329,2,7,0,461.652,0.179851,0.233695,0.23556,0.350895,0.917349
-457.897,0.999158,0.00014607,8,255,0,460.688,0.18062,0.235436,0.235182,0.348762,0.917403
-404.903,0.942997,0.000290429,9,767,0,459.753,0.185153,0.430563,0.215191,0.169093,0.92156
-404,0.905025,0.00048479,6,63,0,405.428,0.184297,0.429449,0.215457,0.170797,0.922109
-393.616,0.975118,0.000719098,7,127,0,404.734,0.178869,0.400573,0.227659,0.192898,0.922616
-393.616,1.72184e-11,0.00131646,1,2,1,395.934,0.178869,0.400573,0.227659,0.192898,0.922616
-388.009,0.999979,0.000127677,10,1023,0,396.78,0.152815,0.399159,0.231651,0.216375,0.919726
-388.475,0.998357,0.000254261,9,511,0,389.055,0.157282,0.396145,0.23276,0.213813,0.920528
-386.98,0.988495,0.00049932,9,511,0,390.074,0.171337,0.372099,0.232856,0.223707,0.92146
-386.98,0.00433079,0.000943452,1,3,0,388.574,0.171337,0.372099,0.232856,0.223707,0.92146
